========================================================================
  pKa GPR Calibration Report
  DFT method: r2SCAN-3c / CPCM(Water) + GFN2-xTB RRHO
========================================================================

  Model: Gaussian Process Regression
  Feature mode:  full
  Features:      ['δpKa_calc', 'q_acid', 'ΔE_CPCM', 'ΔBO_XC', 'ΔBO_ring', 'q_CHELPG_site']

  Training points:  214 total
    Full descriptors: 214
    Partial only:     1

  Kernel amplitude:  2.8885 pKa
  Noise level:       0.5364 pKa
  Length scales:     ['0.997', '1.629', '0.557', '0.656', '0.968', '6.630']

  LOO RMSE:  1.3975 pKa units
  LOO MAE:   0.8766 pKa units

  Physical interpretation of descriptors:
    δpKa_calc     ls=0.997  ACTIVE                        DFT deprotonation energy (charge-state centred); primary driver
    q_acid        ls=1.629  ACTIVE                        Born solvation q² baseline; separates charge-state families
    ΔE_CPCM       ls=0.557  ACTIVE                        
    ΔBO_XC        ls=0.656  ACTIVE                        
    ΔBO_ring      ls=0.968  ACTIVE                        
    q_CHELPG_site  ls=6.630  ACTIVE                        

  Active features: 6/6 (length scale < 9.5; wall-bound features ls→10.0 are negligible)

────────────────────────────────────────────────────────────────────────
  Training data with predictions:

              Compound                  Step    q   pKa_calc   pKa_exp   pKa_pred      σ      err
            resorcinol  Resorcinol→Resorcino   -1     222.56    11.100     11.050  1.051   -0.050
             saccharin   Saccharin→Saccharin   +0     202.41     1.600      1.900  1.010   +0.300
        salicylic_acid  SalicylicA→Salicylat   +0     204.56     2.970      2.940  0.953   -0.030
                serine  Serine_zwi→Serine_an   +0     187.98     9.210      8.928  1.061   -0.282
            sertraline  Sertraline→Sertralin   +1     206.80     9.470      9.559  0.859   +0.089
            sildenafil  Sildenafil→Sildenafi   +1     201.27     5.970      5.823  1.042   -0.147
         succinic_acid  H2Succinat→HSuccinat   +0     203.75     4.207      3.945  0.976   -0.262
         succinic_acid  HSuccinate→Succinate   -1     217.37     5.636      5.693  0.996   +0.057
               taurine  Taurine_ca→Taurine_z   +1     193.04     1.500      1.646  1.057   +0.146
               taurine  Taurine_zw→Taurine_a   +0     208.80     9.060      8.984  0.881   -0.076
       tert_butylamine   tBuAmmoniu→tBuAmine   +1     209.33    10.680     10.770  0.899   +0.090
             tetrazole   Tetrazole→Tetrazola   +0     204.91     4.890      4.436  0.938   -0.454
          theophylline  Theophylli→Theophyll   +0     214.84     8.770      8.657  0.997   -0.113
     thioglycolic_acid  Thioglycol→Thioglyco   -1     216.85     9.900      9.741  1.012   -0.159
       thiolactic_acid  TLA_anion_→TLA_diani   -1     216.70    10.230      9.941  1.001   -0.289
        thiomalic_acid  Thiomalate→Thiomalat   -1     284.88    10.200     10.274  1.064   +0.074
            thiophenol  Thiophenol→Thiopheno   +0     208.55     6.520      6.518  0.838   -0.002
             threonine  ThrH2_cati→Thr_zwitt   +1     199.86     2.090      2.121  0.900   +0.031
             threonine  Thr_zwitte→Thr_anion   +0     209.41     9.100      8.954  0.816   -0.146
